,old_1,old_2,old_3,old_4,old_5,new_1,new_2,new_3,new_4,new_5
194,-2.866,-0.537502215,0.189290313,-0.0347886,0.646998412,,,,,0.763781597
195,-2.074,0.673186831,0.132026708,0.282507616,0.536224467,,,,,0.79455838
196,-2.21,-0.24857599,0.446144743,0.620715464,0.549795736,,,,,0.774939488
197,-3.023,0.173382266,0.506879106,0.697264224,0.741907169,,,,,0.775977396
198,-1.236,0.616870036,0.608026965,0.65221988,0.590054933,,,,,0.770916738
199,-3.185,0.137903096,0.547209734,-0.016191801,0.48682659,,,,,0.767015268
200,-4.264,0.602781105,0.386949409,0.479005105,0.34335106,,,,,0.785173523
201,-1.139,0.638002161,0.576128982,0.687555596,0.442314323,,,,,0.776114662
202,-2.101,0.324603065,0.53157535,0.394729887,0.716785931,,,,,0.762533627
203,-4.033,0.533242918,0.455299123,0.659672061,0.554410201,,,,,0.785254629
204,-1.05,-0.098919642,0.637942364,0.523581099,0.514407019,,,,,0.77293428
205,-2.065,0.411732191,0.593000989,0.458359945,0.63194071,,,,,0.763863196
206,-2.044,0.177397652,0.319729845,0.275339772,0.748942333,,,,,0.759619912
207,-2.197,0.048952941,0.706055872,0.089565623,0.549327556,,,,,0.780818007
208,-1.311,0.618646975,0.316428844,0.389072945,0.614089151,,,,,
209,-0.004,-0.316338155,0.501735517,0.223567506,0.586362826,,,,,
210,-1.212,-0.233866751,0.679618722,-0.005731585,0.362865163,,,,,
211,-3.948,0.632617484,0.718469803,0.699088694,0.715765359,,,,,
212,-3.152,0.647931633,0.399372452,0.03173019,0.46670627,,,,,
213,-2.035,-0.089734792,0.284740102,-0.240983692,0.689132489,,,,,
214,-1.06,0.171699965,0.503600427,0.651251406,0.398519552,,,,,
215,-3.197,0.440729737,0.467475311,0.456319733,0.446738916,,,,,
216,-1.023,0.417349032,0.422014591,0.47597552,0.745639354,,,,,
217,-1.082,0.559183652,0.50451885,0.413921066,0.602178032,,,,,
218,-1.101,0.580611216,0.427886353,-0.609519697,0.694001303,,,,,
219,-1.166,0.286283601,0.65049463,0.188624598,0.228604229,,,,,
220,-1.034,0.536136214,0.508652089,-0.544354589,0.004680969,,,,,
221,-1.115,0.143725239,0.5586169,0.139531608,-0.230513298,,,,,
222,-1.048,0.262951305,0.49020213,0.702600847,0.489222586,,,,,
223,-0.182,-0.084005393,0.289162847,0.464418809,0.248770024,,,,,
224,-2.077,0.57386227,0.080138613,-0.40929526,0.437813737,,,,,
225,-2.125,0.693784141,0.718532229,0.635953391,0.693987341,,,,,
226,-2.147,0.486123986,0.37572015,0.397152278,0.641116735,,,,,
227,-2.337,0.64666119,0.718653942,0.465788455,0.62267568,,,,,
228,-0.125,0.675023849,0.730646307,0.234506557,0.651129998,,,,,
229,-1.122,0.613701186,0.463358387,0.44169701,0.667650587,,,,,
230,-2.111,0.585485516,0.400284627,0.370879805,0.718269257,,,,,
231,-2.346,0.628670448,0.698036208,0.708249651,0.736695424,,,,,
232,-2.018,-0.085340634,0.686974037,0.418758132,0.419991654,,,,,
233,-3.124,0.321117162,0.634334805,-0.00849357,0.565525991,,,,,
234,-1.16,0.430023345,0.27507855,0.028330814,0.726664975,,,,,
235,-1.034,0.669154781,0.18327663,0.361140543,0.716357082,,,,,
236,-3.022,0.574625841,0.478049196,-0.132142919,0.475826685,,,,,
237,-4.096,0.185699936,0.004345241,-0.08968427,0.717921242,,,,,
238,-3.043,0.630322943,-0.054905306,0.254268579,0.497065885,,,,,
239,-3.151,0.683543002,0.642186454,0.343000665,0.711719084,,,,,
240,-0.966,0.47460844,0.60441964,0.708297817,0.711682171,,,,,
241,-1.11,-0.253861655,0.449990784,-0.019280942,0.476335436,,,,,
242,-0.534,0.210647553,0.34572552,0.230517139,0.727666299,,,,,
243,-3.036,0.382908111,0.641749065,0.524336115,0.702207203,,,,,
244,-4.103,-0.090441243,0.359166412,0.32257874,0.336159426,,,,,
245,-2.988,0.469370075,0.492633933,0.423599863,0.324616593,,,,,
246,-2.183,0.588483178,0.700952641,0.7129136,0.684559524,,,,,
247,-1.223,0.65757379,0.174341392,-0.012515105,0.719160544,,,,,
248,-0.287,0.254509401,0.71205485,0.688020495,0.426909035,,,,,
249,-0.368,0.41864082,0.680030403,0.294833017,0.656118903,,,,,
250,-0.989,0.481575388,0.077393465,0.261865534,0.665432172,,,,,
251,-2.019,-0.11215048,0.712532533,0.674614823,0.554696457,,,,,
252,-0.166,0.548613116,0.291177214,0.281580541,0.51851819,,,,,
253,-0.247,0.150682055,0.606235444,-0.004275295,0.376208723,,,,,
254,-2.043,0.162753545,0.547328034,0.6314156,0.656973097,,,,,
255,-2.052,0.618697492,0.722740692,0.455547779,0.111217931,,,,,
256,-2.082,0.266207221,0.738370403,0.370601698,0.55881166,,,,,
257,-0.09,0.01966957,0.076884336,0.510920719,0.290051167,,,,,
258,-0.103,0.695300662,0.343380427,0.463675662,0.645747185,,,,,
